"ID_rater"	"ID_child"	"age_group"	"accent_response"	"accent_numeric"	"rating_language"	"age_months"	"family"
"1"	"R1"	"010RUS-IV-boy-5"	"preschool"	"no"	0	"RU"	67	"mono-rus"
"2"	"R1"	"Konstantin"	"school"	"s"	2	"RU"	129	"bil-mixed"
"3"	"R1"	"105BER"	"preschool"	"no"	0	"RU"	54	"bil-rus"
"4"	"R1"	"012IV"	"preschool"	"w"	1	"RU"	48	"mono-rus"
"5"	"R1"	"129BER"	"preschool"	"no"	0	"RU"	52	"bil-rus"
"6"	"R1"	"017SIN"	"preschool"	"no"	0	"RU"	79	"bil-rus"
"7"	"R1"	"007IV"	"preschool"	"no"	0	"RU"	61	"mono-rus"
"8"	"R1"	"002SIN"	"preschool"	"no"	0	"RU"	64	"bil-rus"
"9"	"R1"	"003SIN"	"preschool"	"w"	1	"RU"	61	"bil-mixed"
"10"	"R1"	"011IV"	"preschool"	"no"	0	"RU"	65	"mono-rus"
"11"	"R1"	"005SIN"	"preschool"	"w"	1	"RU"	60	"bil-rus"
"12"	"R1"	"014SIN"	"preschool"	"no"	0	"RU"	61	"bil-mixed"
"13"	"R1"	"013IV"	"preschool"	"no"	0	"RU"	56	"mono-rus"
"14"	"R1"	"012SIN"	"preschool"	"w"	1	"RU"	76	"bil-rus"
"15"	"R1"	"015SIN"	"preschool"	"w"	1	"RU"	72	"bil-rus"
"16"	"R1"	"008IV"	"preschool"	"no"	0	"RU"	60	"mono-rus"
"17"	"R1"	"041SIN"	"preschool"	"s"	2	"RU"	76	"bil-mixed"
"18"	"R1"	"101BER"	"preschool"	"no"	0	"RU"	59	"bil-rus"
"19"	"R1"	"009IV"	"preschool"	"no"	0	"RU"	48	"mono-rus"
"20"	"R1"	"102BER"	"preschool"	"w"	1	"RU"	58	"bil-rus"
"21"	"R1"	"042SIN"	"school"	"w"	1	"RU"	85	"bil-rus"
"22"	"R1"	"003IV"	"school"	"w"	1	"RU"	101	"mono-rus"
"23"	"R1"	"008SIN"	"school"	"s"	2	"RU"	100	"bil-rus"
"24"	"R1"	"044SIN"	"school"	"no"	0	"RU"	87	"bil-rus"
"25"	"R1"	"002IV"	"school"	"no"	0	"RU"	91	"mono-rus"
"26"	"R1"	"031SIN"	"school"	"no"	0	"RU"	94	"bil-rus"
"27"	"R1"	"013SIN"	"school"	"no"	0	"RU"	86	"bil-rus"
"28"	"R1"	"005IV"	"school"	"no"	0	"RU"	114	"mono-rus"
"29"	"R1"	"010SIN"	"school"	"w"	1	"RU"	102	"bil-rus"
"30"	"R1"	"018SIN"	"school"	"s"	2	"RU"	97	"bil-mixed"
"31"	"R1"	"004IV"	"school"	"no"	0	"RU"	90	"mono-rus"
"32"	"R1"	"040SIN"	"school"	"no"	0	"RU"	110	"bil-mixed"
"33"	"R1"	"007SIN"	"school"	"no"	0	"RU"	110	"bil-rus"
"34"	"R1"	"001IV"	"school"	"no"	0	"RU"	114	"mono-rus"
"35"	"R1"	"048SIN"	"school"	"no"	0	"RU"	100	"bil-rus"
