"Date"	"Genre"	"Text"	"Prepositions"	"Region"	"GenreRedux"	"DateRedux"
"1"	1736	"Science"	"albin"	166.01	"North"	"NonFiction"	"1700-1799"
"2"	1711	"Education"	"anon"	139.86	"North"	"NonFiction"	"1700-1799"
"3"	1808	"PrivateLetter"	"austen"	130.78	"North"	"Conversational"	"1800-1913"
"4"	1878	"Education"	"bain"	151.29	"North"	"NonFiction"	"1800-1913"
"5"	1743	"Education"	"barclay"	145.72	"North"	"NonFiction"	"1700-1799"
"6"	1908	"Education"	"benson"	120.77	"North"	"NonFiction"	"1800-1913"
"7"	1906	"Diary"	"benson"	119.17	"North"	"Conversational"	"1800-1913"
"8"	1897	"Philosophy"	"boethja"	132.96	"North"	"NonFiction"	"1800-1913"
"9"	1785	"Philosophy"	"boethri"	130.49	"North"	"NonFiction"	"1700-1799"
"10"	1776	"Diary"	"boswell"	135.94	"North"	"Conversational"	"1700-1799"
"11"	1905	"Travel"	"bradley"	154.2	"North"	"NonFiction"	"1800-1913"
"12"	1711	"Education"	"brightland"	149.14	"North"	"NonFiction"	"1700-1799"
"13"	1762	"Sermon"	"burton"	159.71	"North"	"Religious"	"1700-1799"
"14"	1726	"Sermon"	"butler"	157.49	"North"	"Religious"	"1700-1799"
"15"	1835	"PrivateLetter"	"carlyle"	124.16	"North"	"Conversational"	"1800-1913"
"16"	1837	"History"	"carlyle"	134.48	"North"	"NonFiction"	"1800-1913"
"17"	1774	"Education"	"chapman"	153.54	"North"	"NonFiction"	"1700-1799"
"18"	1776	"Travel"	"cook"	140.22	"North"	"NonFiction"	"1700-1799"
"19"	1712	"Travel"	"cooke"	150	"North"	"NonFiction"	"1700-1799"
"20"	1719	"Fiction"	"defoe"	131.48	"North"	"Fiction"	"1700-1799"
"21"	1837	"Fiction"	"dickens"	126.63	"North"	"Fiction"	"1800-1913"
"22"	1747	"Biography"	"doddridge"	152.89	"North"	"NonFiction"	"1700-1799"
"23"	1718	"Handbook"	"drummond"	150.66	"North"	"NonFiction"	"1700-1799"
"24"	1881	"Bible"	"erv"	107.17	"North"	"Religious"	"1800-1913"
